year;Commodity;Type_urbs;Type_evrys;price;max;maxperhour;annual;losses
2015;Biogas;Stock;SUP-Stock;23;inf;inf;inf;0
2015;Biomass;Stock;SUP-Stock;23;inf;inf;inf;0
2015;CO2;Env;ENV;12;inf;inf;inf;0
2015;Coal;Stock;SUP-Stock;10,5365161;inf;inf;inf;0
2015;Elec;Demand;DEM;;;;;0
2015;Gas;Stock;SUP-Stock;24,80815129;inf;inf;inf;0
2015;Geothermal;Stock;SUP-Stock;0;inf;inf;inf;0
2015;Hydro_Large;SupIm;SUP-Intermittent;0;inf;inf;;0
2015;Hydro_Small;SupIm;SUP-Intermittent;0;inf;inf;;0
2015;Lignite;Stock;SUP-Stock;7;inf;inf;inf;0
2015;Liquid biofuels;Stock;SUP-Stock;23;inf;inf;inf;0
2015;Oil;Stock;SUP-Stock;40,25785851;inf;inf;inf;0
2015;Slack;Stock;SUP-Stock;999;inf;inf;inf;0
2015;Solar;SupIm;SUP-Intermittent;0;inf;inf;1;0
2015;Tidal;Stock;SUP-Stock;0;inf;inf;inf;0
2015;Uranium;Stock;SUP-Stock;2,33;inf;inf;inf;0
2015;Waste;Stock;SUP-Stock;0;inf;inf;inf;0
2015;WindOff;SupIm;SUP-Intermittent;0;inf;inf;1;0
2015;WindOn;SupIm;SUP-Intermittent;0;inf;inf;1;0
2015;Bioenergy;Stock;SUP-Stock;23;inf;inf;inf;0
2015;Hydro;SupIm;SUP-Intermittent;0;inf;inf;;0
2020;Biogas;Stock;SUP-Stock;23;inf;inf;inf;0
2020;Biomass;Stock;SUP-Stock;23;inf;inf;inf;0
2020;CO2;Env;ENV;12;inf;inf;inf;0
2020;Coal;Stock;SUP-Stock;10,5365161;inf;inf;inf;0
2020;Elec;Demand;DEM;;;;;0
2020;Gas;Stock;SUP-Stock;24,80815129;inf;inf;inf;0
2020;Geothermal;Stock;SUP-Stock;0;inf;inf;inf;0
2020;Hydro_Large;SupIm;SUP-Intermittent;0;inf;inf;;0
2020;Hydro_Small;SupIm;SUP-Intermittent;0;inf;inf;;0
2020;Lignite;Stock;SUP-Stock;7;inf;inf;inf;0
2020;Liquid biofuels;Stock;SUP-Stock;23;inf;inf;inf;0
2020;Oil;Stock;SUP-Stock;40,25785851;inf;inf;inf;0
2020;Slack;Stock;SUP-Stock;999;inf;inf;inf;0
2020;Solar;SupIm;SUP-Intermittent;0;inf;inf;1;0
2020;Tidal;Stock;SUP-Stock;0;inf;inf;inf;0
2020;Uranium;Stock;SUP-Stock;2,33;inf;inf;inf;0
