year;Process/Storage;Direction;Commodity;ratio;ratio-min
2015;Battery;In;Elec;0,9;0,9
2015;Battery;Out;Elec;0,9;0,9
2015;Bioenergy;In;Bioenergy;2,86;4
2015;Bioenergy;Out;Elec;1;1
2015;Biogas;In;Biogas;1,67;2,34
2015;Biogas;Out;Elec;1;1
2015;Biomass;In;Biomass;2,86;4
2015;Biomass;Out;Elec;1;1
2015;Coal;In;Coal;2,56;3,58
2015;Coal;Out;CO2;0,92;0,92
2015;Coal;Out;Elec;1;1
2015;Gas;In;Gas;1,67;2,34
2015;Gas;Out;CO2;0,3;0,3
2015;Gas;Out;Elec;1;1
2015;Geothermal;In;Geothermal;8,33;8,33
2015;Geothermal;Out;Elec;1;1
2015;Hydro;In;Hydro;1;1
2015;Hydro;Out;Elec;1;1
2015;Hydro_Large;In;Hydro_Large;1;1
2015;Hydro_Large;Out;Elec;1;1
2015;Hydro_Small;In;Hydro_Small;1;1
2015;Hydro_Small;Out;Elec;1;1
2015;Lignite;In;Lignite;2,63;3,68
2015;Lignite;Out;CO2;0,99;0,99
2015;Lignite;Out;Elec;1;1
2015;Liquid biofuels;In;Liquid biofuels;3,33;4,66
2015;Liquid biofuels;Out;Elec;1;1
2015;Nuclear;In;Uranium;3,03;4,24
2015;Nuclear;Out;Elec;1;1
2015;Oil;In;Oil;3,33;4,66
2015;Oil;Out;CO2;1;1
2015;Oil;Out;Elec;1;1
2015;OilOther;In;Oil;3,33;4,66
2015;OilOther;Out;CO2;1;1
2015;OilOther;Out;Elec;1;1
2015;PumSt;In;Elec;0,92;0,92
2015;PumSt;Out;Elec;0,92;0,92
2015;Shunt;In;Elec;1;1
2015;Slack;In;Slack;1;1
2015;Slack;Out;Elec;1;1
2015;Solar;In;Solar;1;1
2015;Solar;Out;Elec;1;1
2015;Storage_ST;In;Elec;0,9;0,9
2015;Storage_ST;Out;Elec;0,9;0,9
2015;Tidal;In;Tidal;1;1
2015;Tidal;Out;Elec;1;1
2015;Waste;In;Waste;3,57;3,57
2015;Waste;Out;CO2;1,1;1,1
2015;Waste;Out;Elec;1;1
2015;WindOff;In;WindOff;1;1
2015;WindOff;Out;Elec;1;1
2015;WindOn;In;WindOn;1;1
2015;WindOn;Out;Elec;1;1
2020;Battery;In;Elec;0,9;0,9
2020;Battery;Out;Elec;0,9;0,9
2020;Biogas;In;Biogas;1,67;2,34
2020;Biogas;Out;CO2;0,3;0,3
2020;Biogas;Out;Elec;1;1
2020;Biomass;In;Biomass;2,85;3,99
2020;Biomass;Out;Elec;1;1
2020;Coal;In;Coal;2,17;3,04
2020;Coal;Out;CO2;0,88;0,88
2020;Coal;Out;Elec;1;1
2020;Gas;In;Gas;1,67;2,34
2020;Gas;Out;CO2;0,3;0,3
2020;Gas;Out;Elec;1;1
2020;Geothermal;In;Geothermal;8,2;8,2
2020;Geothermal;Out;Elec;1;1
2020;Hydro_Large;In;Hydro_Large;1;1
2020;Hydro_Large;Out;Elec;1;1
2020;Hydro_Small;In;Hydro_Small;1;1
2020;Hydro_Small;Out;Elec;1;1
2020;Lignite;In;Lignite;2,22;3,11
2020;Lignite;Out;CO2;0,95;0,95
2020;Lignite;Out;Elec;1;1
2020;Liquid biofuels;In;Liquid biofuels;3,33;4,66
2020;Liquid biofuels;Out;Elec;1;1
2020;Nuclear;In;Uranium;2,7;3,78
2020;Nuclear;Out;Elec;1;1
2020;Oil;In;Oil;3,33;4,66
2020;Oil;Out;CO2;1;1
2020;Oil;Out;Elec;1;1
2020;OilOther;In;Oil;3,33;4,66
2020;OilOther;Out;CO2;1;1
2020;OilOther;Out;Elec;1;1
2020;PumSt;In;Elec;0,92;0,92
2020;PumSt;Out;Elec;0,92;0,92
2020;Shunt;In;Elec;1;1
2020;Slack;In;Slack;1;1
2020;Slack;Out;Elec;1;1
2020;Solar;In;Solar;1;1
2020;Solar;Out;Elec;1;1
2020;Storage_ST;In;Elec;0,9;0,9
2020;Storage_ST;Out;Elec;0,9;0,9
2020;Tidal;In;Tidal;1;1
2020;Tidal;Out;Elec;1;1
2020;Waste;In;Waste;3,23;3,23
2020;Waste;Out;CO2;1,1;1,1
2020;Waste;Out;Elec;1;1
2020;WindOff;In;WindOff;1;1
2020;WindOff;Out;Elec;1;1
2020;WindOn;In;WindOn;1;1
2020;WindOn;Out;Elec;1;1
2030;Battery;In;Elec;0,9;0,9
2030;Battery;Out;Elec;0,9;0,9
2030;Biogas;In;Biogas;1,64;2,3
2030;Biogas;Out;CO2;0,29;0,29
2030;Biogas;Out;Elec;1;1
2030;Biomass;In;Biomass;2,82;3,95
2030;Biomass;Out;Elec;1;1
2030;Coal;In;Coal;2,13;2,98
2030;Coal;Out;CO2;0,86;0,86
2030;Coal;Out;Elec;1;1
2030;Gas;In;Gas;1,64;2,3
2030;Gas;Out;CO2;0,29;0,29
2030;Gas;Out;Elec;1;1
2030;Geothermal;In;Geothermal;8,12;8,12
2030;Geothermal;Out;Elec;1;1
2030;Hydro_Large;In;Hydro_Large;1;1
2030;Hydro_Large;Out;Elec;1;1
2030;Hydro_Small;In;Hydro_Small;1;1
2030;Hydro_Small;Out;Elec;1;1
2030;Lignite;In;Lignite;2,18;3,05
2030;Lignite;Out;CO2;0,93;0,93
2030;Lignite;Out;Elec;1;1
2030;Liquid biofuels;In;Liquid biofuels;3,33;4,66
2030;Liquid biofuels;Out;Elec;1;1
2030;Nuclear;In;Uranium;2,67;3,74
2030;Nuclear;Out;Elec;1;1
2030;Oil;In;Oil;3,33;4,66
2030;Oil;Out;CO2;1;1
2030;Oil;Out;Elec;1;1
2030;OilOther;In;Oil;3,33;4,66
2030;OilOther;Out;CO2;1;1
2030;OilOther;Out;Elec;1;1
2030;PumSt;In;Elec;0,92;0,92
2030;PumSt;Out;Elec;0,92;0,92
2030;Shunt;In;Elec;1;1
2030;Slack;In;Slack;1;1
2030;Slack;Out;Elec;1;1
2030;Solar;In;Solar;1;1
2030;Solar;Out;Elec;1;1
2030;Storage_ST;In;Elec;0,9;0,9
2030;Storage_ST;Out;Elec;0,9;0,9
2030;Tidal;In;Tidal;1;1
2030;Tidal;Out;Elec;1;1
2030;Waste;In;Waste;3,09;3,09
2030;Waste;Out;CO2;1,1;1,1
2030;Waste;Out;Elec;1;1
2030;WindOff;In;WindOff;1;1
2030;WindOff;Out;Elec;1;1
2030;WindOn;In;WindOn;1;1
2030;WindOn;Out;Elec;1;1
2040;Battery;In;Elec;0,9;0,9
2040;Battery;Out;Elec;0,9;0,9
2040;Biogas;In;Biogas;1,61;2,25
2040;Biogas;Out;CO2;0,29;0,29
2040;Biogas;Out;Elec;1;1
2040;Biomass;In;Biomass;2,71;3,79
2040;Biomass;Out;Elec;1;1
2040;Coal;In;Coal;2,08;2,91
2040;Coal;Out;CO2;0,84;0,84
2040;Coal;Out;Elec;1;1
2040;Gas;In;Gas;1,61;2,25
2040;Gas;Out;CO2;0,29;0,29
2040;Gas;Out;Elec;1;1
2040;Geothermal;In;Geothermal;7,96;7,96
2040;Geothermal;Out;Elec;1;1
2040;Hydro_Large;In;Hydro_Large;1;1
2040;Hydro_Large;Out;Elec;1;1
2040;Hydro_Small;In;Hydro_Small;1;1
2040;Hydro_Small;Out;Elec;1;1
2040;Lignite;In;Lignite;2,13;2,98
2040;Lignite;Out;CO2;0,91;0,91
2040;Lignite;Out;Elec;1;1
2040;Liquid biofuels;In;Liquid biofuels;3,33;4,66
2040;Liquid biofuels;Out;Elec;1;1
2040;Nuclear;In;Uranium;2,63;3,68
2040;Nuclear;Out;Elec;1;1
2040;Oil;In;Oil;3,33;4,66
2040;Oil;Out;CO2;1;1
2040;Oil;Out;Elec;1;1
2040;OilOther;In;Oil;3,33;4,66
2040;OilOther;Out;CO2;1;1
2040;OilOther;Out;Elec;1;1
2040;PumSt;In;Elec;0,92;0,92
2040;PumSt;Out;Elec;0,92;0,92
2040;Shunt;In;Elec;1;1
2040;Slack;In;Slack;1;1
2040;Slack;Out;Elec;1;1
2040;Solar;In;Solar;1;1
2040;Solar;Out;Elec;1;1
2040;Storage_ST;In;Elec;0,9;0,9
2040;Storage_ST;Out;Elec;0,9;0,9
2040;Tidal;In;Tidal;1;1
2040;Tidal;Out;Elec;1;1
2040;Waste;In;Waste;2,82;2,82
2040;Waste;Out;CO2;1,1;1,1
2040;Waste;Out;Elec;1;1
2040;WindOff;In;WindOff;1;1
2040;WindOff;Out;Elec;1;1
2040;WindOn;In;WindOn;1;1
2040;WindOn;Out;Elec;1;1
2050;Battery;In;Elec;0,9;0,9
2050;Battery;Out;Elec;0,9;0,9
2050;Biogas;In;Biogas;1,6;2,24
2050;Biogas;Out;CO2;0,28;0,28
2050;Biogas;Out;Elec;1;1
2050;Biomass;In;Biomass;2,63;3,68
2050;Biomass;Out;Elec;1;1
2050;Coal;In;Coal;2,08;2,91
2050;Coal;Out;CO2;0,84;0,84
2050;Coal;Out;Elec;1;1
2050;Gas;In;Gas;1,6;2,24
2050;Gas;Out;CO2;0,28;0,28
2050;Gas;Out;Elec;1;1
2050;Geothermal;In;Geothermal;7,81;7,81
2050;Geothermal;Out;Elec;1;1
2050;Hydro_Large;In;Hydro_Large;1;1
2050;Hydro_Large;Out;Elec;1;1
2050;Hydro_Small;In;Hydro_Small;1;1
2050;Hydro_Small;Out;Elec;1;1
2050;Lignite;In;Lignite;2,13;2,98
2050;Lignite;Out;CO2;0,91;0,91
2050;Lignite;Out;Elec;1;1
