year;Process;cap-lo;cap-up;max-grad;min-fraction;inv-cost;fix-cost;var-cost;start-cost;wacc;depreciation;lifetime;area-per-cap;act-up;act-lo;on-off;reserve-cost;ru;rd;rumax;rdmax;detail;lambda;heatmax;maxdeltaT;heatupcost;su;sd;pdt;hotstart;pot;pretemp;preheat;prestate;prepow;precaponline;year_mu;year_stdev
2016;Bioenergy;0;0;1,2;0;2783152;61880;26;1;0,07;25;25;0;1;0;1;0;0,05;0,05;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2010;5
2016;Coal;0;0;0,6;0;1600000;40000;4,6;90;0,07;40;40;0;1;0,4;1;0;0,03;0,03;1;1;5;0,06;0,15;1;110;0,5;0,5;0;0;0;1;0;1;0;0;2010;5
2016;Gas;0;0;4,8;0;850000;21250;2;70;0,07;30;30;0;1;0,3;1;0;0,05;0,05;1;1;5;0,1;0,2;1;60;0,5;0,5;0;0;0;1;0;1;0;0;2010;5
2016;Geothermal;0;0;0,6;0;5308968;78020;0;0;0,07;30;30;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2010;5
2016;Hydro;0;0;inf;0;5551137;82930;0;0;0,07;60;60;0;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2010;5
2016;Oil;0;0;3;0;850000;21250;3,17;50;0,07;30;30;0;1;0,4;1;0;0,05;0,05;1;1;5;0,3;1;1;20;0,7;0,7;0;0;0;1;0;1;0;0;2010;5
2016;Waste;0;0;1,2;0;5904581;178540;26;50;0,07;25;25;0;1;0;1;0;0,05;0,05;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2010;5
2015;Bioenergy;0;0;1,2;0,2;2783152;61880;3,5;0;0,07;25;25;0;1;0;1;0;0,05;0,05;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2000;5
2015;Biogas;0;0;4,8;0,79;850000;21250;2;40;0,07;30;30;0;1;0,3;1;0;0,05;0,05;1;1;5;0,1;0,2;1;60;0,5;0,5;0;0;0;1;0;1;0;0;2000;5
2015;Biomass;0;0;1,2;0,2;2783152;61880;3,5;0;0,07;25;25;0;1;0;1;0;0,05;0,05;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2000;5
2015;Coal;0;0;0,6;0,4;1600000;40000;3,6;90;0,07;40;40;0;1;0,4;1;0;0,03;0,03;1;1;5;0,06;0,15;1;110;0,5;0,5;0;0;0;1;0;1;0;0;1975;5
2015;Coal_CHP;0;0;0,6;0,4;2030000;81200;5;90;0,07;35;35;0;1;0,4;1;0;0,03;0,03;1;1;5;0,06;0,15;1;110;0,5;0,5;0;0;0;1;0;1;0;0;1975;5
2015;Gas;0;inf;4,8;0,2;850000;21250;2;40;0,07;30;30;0;1;0,3;1;0;0,05;0,05;1;1;5;0,1;0,2;1;60;0,5;0,5;0;0;0;1;0;1;0;0;1990;8
2015;Gas_CHP;0;0;4,8;0,2;1006529;39280;4;40;0,07;30;30;0;1;0,3;1;0;0,05;0,05;1;1;5;0,1;0,2;1;60;0,5;0,5;0;0;0;1;0;1;0;0;1990;8
2015;Geothermal;0;0;0,6;0;5308968;78020;0;0;0,07;30;30;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;1990;8
2015;Hydro;0;0;inf;0;5551137;82930;5;0;0,07;60;60;0;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;1970;4
2015;Hydro_Large;0;0;inf;0;5551137;82930;5;0;0,07;60;60;0;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;1970;4
2015;Hydro_Small;0;0;inf;0;5551137;82930;5;0;0,07;60;60;0;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;1990;8
2015;Lignite;0;0;0,6;0,4;2000000;50000;4,5;90;0,07;40;40;0;1;0,45;1;0;0,02;0,02;1;1;5;0,04;0,12;1;130;0,5;0,5;0;0;0;1;0;1;0;0;1975;5
2015;Lignite_CHP;0;0;0,6;0,4;2537500;101500;5;90;0,07;35;35;0;1;0,45;1;0;0,02;0,02;1;1;5;0,04;0,12;1;130;0,5;0,5;0;0;0;1;0;1;0;0;1975;5
2015;Liquid biofuels;0;0;3;0;850000;21250;2;40;0,07;30;30;0;1;0,4;1;0;0,05;0,05;1;1;5;0,3;1;1;20;0,7;0,7;0;0;0;1;0;1;0;0;2000;5
2015;Nuclear;0;0;0,3;0,5;4439360;93600;2,5;1000;0,07;60;60;0;1;0,45;1;0;0,04;0,04;1;1;5;0,03;0,1;1;100;0,45;0,45;0;0;0;1;0;1;0;0;1970;4
2015;OilOther;0;0;3;0,12;850000;21250;2;40;0,07;30;30;0;1;0,4;1;0;0,05;0,05;1;1;5;0,3;1;1;20;0,7;0,7;0;0;0;1;0;1;0;0;1990;8
2015;OilOther_CHP;0;0;3;0,12;1078438;43138;4;40;0,07;30;30;0;1;0,4;1;0;0,05;0,05;1;1;5;0,3;1;1;20;0,7;0,7;0;0;0;1;0;1;0;0;1990;8
2015;Shunt;0;999999;inf;0;0;0;0;0;0,07;1;999;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2015;0
2015;Slack;0;999999;inf;0;0;0;0;0;0,07;1;999;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2015;0
2015;Solar;0;inf;inf;0;889892;15790;0;0;0,07;25;25;14000;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2009;2
2015;Tidal;0;0;inf;0;7052827;302600;0;0;0,07;20;20;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2009;2
2015;Waste;0;0;1,2;0;5904581;178540;7;0;0,07;25;25;0;1;0;1;0;0,05;0,05;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2000;5
2015;WindOff;0;inf;inf;0;3184734;118040;0;0;0,07;25;25;125000;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2009;2
2015;WindOn;0;inf;inf;0;1395019;36260;0;0;0,07;25;25;125000;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2006;3
2020;Bioenergy;0;0;1,2;0,2;2620000;57640;3,5;0;0,07;25;25;0;1;0;1;0;0,05;0,05;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2000;5
2020;Biogas;0;0;4,8;0,79;850000;21250;2;40;0,07;30;30;0;1;0,3;1;0;0,05;0,05;1;1;5;0,1;0,2;1;60;0,5;0,5;0;0;0;1;0;1;0;0;2000;5
2020;Biomass;0;0;1,2;0,2;2620000;57640;3,5;0;0,07;25;25;0;1;0;1;0;0,05;0,05;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2000;5
2020;Coal;0;0;0,6;0,4;1600000;40000;3,6;90;0,07;40;40;0;1;0,4;1;0;0,03;0,03;1;1;5;0,06;0,15;1;110;0,5;0,5;0;0;0;1;0;1;0;0;1975;5
2020;Coal_CHP;0;0;0,6;0,4;2030000;81200;5;90;0,07;35;35;0;1;0,4;1;0;0,03;0,03;1;1;5;0,06;0,15;1;110;0,5;0,5;0;0;0;1;0;1;0;0;1975;5
2020;Gas;0;inf;4,8;0,2;850000;21250;2;40;0,07;30;30;0;1;0,3;1;0;0,05;0,05;1;1;5;0,1;0,2;1;60;0,5;0,5;0;0;0;1;0;1;0;0;1990;8
2020;Gas_CHP;0;0;4,8;0,2;1000000;39000;4;40;0,07;30;30;0;1;0,3;1;0;0,05;0,05;1;1;5;0,1;0,2;1;60;0,5;0,5;0;0;0;1;0;1;0;0;1990;8
2020;Geothermal;0;0;0,6;0;4970000;79520;0;0;0,07;30;30;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;1990;8
2020;Hydro;0;0;inf;0;5600000;84000;5;0;0,07;60;60;0;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;1970;4
2020;Hydro_Large;0;0;inf;0;5600000;84000;5;0;0,07;60;60;0;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;1970;4
2020;Hydro_Small;0;0;inf;0;5600000;84000;5;0;0,07;60;60;0;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;1990;8
2020;Lignite;0;0;0,6;0,4;2000000;50000;4,5;90;0,07;40;40;0;1;0,45;1;0;0,02;0,02;1;1;5;0,04;0,12;1;130;0,5;0,5;0;0;0;1;0;1;0;0;1975;5
2020;Lignite_CHP;0;0;0,6;0,4;2537500;101500;5;90;0,07;35;35;0;1;0,45;1;0;0,02;0,02;1;1;5;0,04;0,12;1;130;0,5;0,5;0;0;0;1;0;1;0;0;1975;5
2020;Liquid biofuels;0;0;3;0;850000;21250;2;40;0,07;30;30;0;1;0,4;1;0;0,05;0,05;1;1;5;0,3;1;1;20;0,7;0,7;0;0;0;1;0;1;0;0;2000;5
2020;Nuclear;0;0;0,3;0,5;4350000;91350;2,5;1000;0,07;60;60;0;1;0,45;1;0;0,04;0,04;1;1;5;0,03;0,1;1;100;0,45;0,45;0;0;0;1;0;1;0;0;1970;4
2020;OilOther;0;0;3;0,12;850000;21250;2;40;0,07;30;30;0;1;0,4;1;0;0,05;0,05;1;1;5;0,3;1;1;20;0,7;0,7;0;0;0;1;0;1;0;0;1990;8
2020;OilOther_CHP;0;0;3;0,12;1078438;43138;4;40;0,07;30;30;0;1;0,4;1;0;0,05;0,05;1;1;5;0,3;1;1;20;0,7;0,7;0;0;0;1;0;1;0;0;1990;8
2020;Shunt;0;999999;inf;0;0;0;0;0;0,07;1;999;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2020;0
2020;Slack;0;999999;inf;0;0;0;0;0;0,07;1;999;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2020;0
2020;Solar;0;inf;inf;0;800000;13600;0;0;0,07;25;25;14000;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2009;2
2020;Tidal;0;0;inf;0;4400000;149600;0;0;0,07;20;20;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2009;2
2020;Waste;0;0;1,2;0;5630000;168900;7;0;0,07;25;25;0;1;0;1;0;0,05;0,05;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2000;5
2020;WindOff;0;inf;inf;0;2880000;92160;0;0;0,07;25;25;125000;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2009;2
2020;WindOn;0;inf;inf;0;1350000;32400;0;0;0,07;25;25;125000;1;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2006;3
2030;Bioenergy;0;0;1,2;0,2;2370000;52140;3,5;0;0,07;25;25;0;1;0;1;0;0,05;0,05;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2000;5
2030;Biogas;0;0;4,8;0,79;850000;21250;2;40;0,07;30;30;0;1;0,3;1;0;0,05;0,05;1;1;5;0,1;0,2;1;60;0,5;0,5;0;0;0;1;0;1;0;0;2000;5
2030;Biomass;0;0;1,2;0,2;2370000;52140;3,5;0;0,07;25;25;0;1;0;1;0;0,05;0,05;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2000;5
2030;Coal;0;0;0,6;0,4;1600000;40000;3,6;90;0,07;40;40;0;1;0,4;1;0;0,03;0,03;1;1;5;0,06;0,15;1;110;0,5;0,5;0;0;0;1;0;1;0;0;1975;5
2030;Coal_CHP;0;0;0,6;0,4;2030000;60900;5;90;0,07;35;35;0;1;0,4;1;0;0,03;0,03;1;1;5;0,06;0,15;1;110;0,5;0,5;0;0;0;1;0;1;0;0;1975;5
