year;Storage;ep-ratio;cap-up-c;cap-up-p;inv-cost-p;inv-cost-c;fix-cost-p;fix-cost-c;var-cost-p;var-cost-c;lifetime;depreciation;wacc;init;var-cost-pi;var-cost-po;act-lo-pi;act-up-pi;act-lo-po;act-up-po;act-lo-c;act-up-c;precont;prepowin;prepowout;ru;rd;rumax;rdmax;seasonal;ctr;discharge;year_mu;year_stdev
2015;Battery;6;inf;inf;797.500;687.500;9.375;0;0;0;10;10;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;2015;0,3
2015;PumSt;120;0;0;275.000;0;4.125;0;0;0;60;60;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;1980;5
2015;Storage_ST;6;0;0;797.500;687.500;9.375;0;0;0;10;10;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;2015;0,3
2020;Battery;6;inf;inf;682.500;450.000;9.375;0;0;0;10;10;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;2015;0,3
2020;PumSt;120;0;0;275.000;0;4.125;0;0;0;60;60;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;1980;5
2020;Storage_ST;6;0;0;682.500;450.000;9.375;0;0;0;10;10;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;2015;0,3
2030;Battery;6;inf;inf;600.000;300.000;9.375;0;0;0;10;10;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;2015;0,3
2030;PumSt;120;0;0;275.000;0;4.125;0;0;0;60;60;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;1980;5
2030;Storage_ST;6;0;0;600.000;300.000;9.375;0;0;0;10;10;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;2015;0,3
2040;Battery;6;inf;inf;550.000;275.000;9.375;0;0;0;10;10;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;2015;0,3
2040;PumSt;120;0;0;275.000;0;4.125;0;0;0;60;60;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;1980;5
2040;Storage_ST;6;0;0;550.000;275.000;9.375;0;0;0;10;10;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;2015;0,3
2050;Battery;6;inf;inf;500.000;250.000;9.375;0;0;0;10;10;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;2015;0,3
2050;PumSt;120;0;0;275.000;0;4.125;0;0;0;60;60;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;1980;5
2050;Storage_ST;6;0;0;500.000;250.000;9.375;0;0;0;10;10;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;2015;0,3
