Type;length_limit_km;year;Commodity;eff_per_1000km;inv-cost-fix;inv-cost-length;fix-cost-length;var-cost;cap-lo;cap-up;wacc;depreciation;act-lo;act-up;angle-up;PSTmax
AC_OHL;150;2015;Elec;0,92;0;300;42;0;0;inf;0,07;60;0;1;45;0
AC_OHL;inf;2015;Elec;0,92;-70000;770;42;0;0;inf;0,07;60;0;1;45;0
AC_CAB;150;2015;Elec;0,9;0;1200;21;0;0;inf;0,07;40;0;1;45;0
AC_CAB;inf;2015;Elec;0,9;-280000;3080;21;0;0;inf;0,07;40;0;1;45;0
DC_OHL;inf;2015;Elec;0,95;160000;288;42;0;0;inf;0,07;60;0;1;45;0
DC_CAB;inf;2015;Elec;0,95;160000;1152;21;0;0;inf;0,07;40;0;1;45;0
AC_OHL;150;2020;Elec;0,92;0;300;42;0;0;inf;0,07;60;0;1;45;0
AC_OHL;inf;2020;Elec;0,92;-70000;770;42;0;0;inf;0,07;60;0;1;45;0
AC_CAB;150;2020;Elec;0,9;0;1200;21;0;0;inf;0,07;40;0;1;45;0
AC_CAB;inf;2020;Elec;0,9;-280000;3080;21;0;0;inf;0,07;40;0;1;45;0
DC_OHL;inf;2020;Elec;0,95;160000;288;42;0;0;inf;0,07;60;0;1;45;0
DC_CAB;inf;2020;Elec;0,95;160000;1152;21;0;0;inf;0,07;40;0;1;45;0
AC_OHL;150;2030;Elec;0,92;0;300;42;0;0;inf;0,07;60;0;1;45;0
AC_OHL;inf;2030;Elec;0,92;-70000;770;42;0;0;inf;0,07;60;0;1;45;0
AC_CAB;150;2030;Elec;0,9;0;1200;21;0;0;inf;0,07;40;0;1;45;0
AC_CAB;inf;2030;Elec;0,9;-280000;3080;21;0;0;inf;0,07;40;0;1;45;0
DC_OHL;inf;2030;Elec;0,95;160000;288;42;0;0;inf;0,07;60;0;1;45;0
DC_CAB;inf;2030;Elec;0,95;160000;1152;21;0;0;inf;0,07;40;0;1;45;0
AC_OHL;150;2040;Elec;0,92;0;300;42;0;0;inf;0,07;60;0;1;45;0
AC_OHL;inf;2040;Elec;0,92;-70000;770;42;0;0;inf;0,07;60;0;1;45;0
AC_CAB;150;2040;Elec;0,9;0;1200;21;0;0;inf;0,07;40;0;1;45;0
AC_CAB;inf;2040;Elec;0,9;-280000;3080;21;0;0;inf;0,07;40;0;1;45;0
DC_OHL;inf;2040;Elec;0,95;160000;288;42;0;0;inf;0,07;60;0;1;45;0
DC_CAB;inf;2040;Elec;0,95;160000;1152;21;0;0;inf;0,07;40;0;1;45;0
AC_OHL;150;2050;Elec;0,92;0;300;42;0;0;inf;0,07;60;0;1;45;0
AC_OHL;inf;2050;Elec;0,92;-70000;770;42;0;0;inf;0,07;60;0;1;45;0
AC_CAB;150;2050;Elec;0,9;0;1200;21;0;0;inf;0,07;40;0;1;45;0
AC_CAB;inf;2050;Elec;0,9;-280000;3080;21;0;0;inf;0,07;40;0;1;45;0
DC_OHL;inf;2050;Elec;0,95;160000;288;42;0;0;inf;0,07;60;0;1;45;0
DC_CAB;inf;2050;Elec;0,95;160000;1152;21;0;0;inf;0,07;40;0;1;45;0
