EUROSTAT;Model_sectors
Gross electricity generation Main activity electricity only - Hydro -1 MW;
Gross electricity generation Main activity electricity only - Hydro 1-10 MW;
Gross electricity generation Main activity electricity only - Hydro 10+ MW;
Gross electricity generation Autoproducer electricity only - Hydro -1 MW;
Gross electricity generation Autoproducer electricity only - Hydro 1-10 MW;
Gross electricity generation Autoproducer electricity only - Hydro 10+ MW;
Gross electricity generation Main activity electricity only - Solar Photovoltaic;
Gross electricity generation Main activity electricity only - Solar Thermal;
Gross electricity generation Autoproducer electricity only - Solar Photovoltaic;
Gross electricity generation Autoproducer electricity only - Solar Thermal;
Gross electricity generation Main activity electricity only - Nuclear;
Gross electricity generation Main activity CHP plants - Nuclear;
Gross electricity generation Autoproducer electricity only - Nuclear;
Gross electricity generation Autoproducer CHP plants - Nuclear;
Gross electricity generation Main activity electricity only - Hydro;
Gross electricity generation Autoproducer electricity only - Hydro;
Gross electricity generation Main activity electricity only - Pumped Hydro;
Gross electricity generation Autoproducer electricity only - Pumped Hydro;
Gross electricity generation Main activity electricity only - Geothermal;
Gross electricity generation Main activity CHP plants - Geothermal;
Gross electricity generation Autoproducer electricity only - Geothermal;
Gross electricity generation Autoproducer CHP plants - Geothermal;
Gross electricity generation Main activity electricity only - Tide, Wave and Ocean;
Gross electricity generation Autoproducer electricity only - Tide, Wave and Ocean;
Gross electricity generation Main activity electricity only - Wind;
Gross electricity generation Autoproducer electricity only - Wind;
Gross electricity generation Main activity electricity only - Combustible Fuels;
Gross electricity generation Main activity CHP plants - Combustible Fuels;
Gross electricity generation Autoproducer electricity only - Combustible Fuels;
Gross electricity generation Autoproducer CHP plants - Combustible Fuels;
Gross electricity generation Autoproducer electricity only - Heat from Chemical Sources;
Gross electricity generation Autoproducer CHP plants - Heat from Chemical Sources;
Gross electricity generation Main activity electricity only - Other Sources;
Gross electricity generation Main activity CHP plants - Other Sources;
Gross electricity generation Autoproducer electricity only - Other Sources;
Gross electricity generation Autoproducer CHP plants - Other Sources;
Net electricity generation Main activity electricity only - Nuclear;
Net electricity generation Main activity CHP plants - Nuclear;
Net electricity generation Autoproducer electricity only - Nuclear;
Net electricity generation Autoproducer CHP plants - Nuclear;
Net electricity generation Main activity electricity only - Hydro;
Net electricity generation Autoproducer electricity only - Hydro;
Net electricity generation Main activity electricity only - Pumped Hydro;
Net electricity generation Autoproducer electricity only - Pumped Hydro;
Net electricity generation Main activity electricity only - Geothermal;
Net electricity generation Main activity CHP plants - Geothermal;
Net electricity generation Autoproducer electricity only - Geothermal;
Net electricity generation Autoproducer CHP plants - Geothermal;
Net electricity generation Main activity electricity only - Solar;
Net electricity generation Autoproducer electricity only - Solar;
Net electricity generation Main activity electricity only - Tide, Wave and Ocean;
Net electricity generation Autoproducer electricity only - Tide, Wave and Ocean;
Net electricity generation Main activity electricity only - Wind;
Net electricity generation Autoproducer electricity only - Wind;
Net electricity generation Main activity electricity only - Combustible Fuels;
Net electricity generation Main activity CHP plants - Combustible Fuels;
Net electricity generation Autoproducer electricity only - Combustible Fuels;
Net electricity generation Autoproducer CHP plants - Combustible Fuels;
Net electricity generation Autoproducer electricity only - Heat from Chemical Sources;
Net electricity generation Autoproducer CHP plants - Heat from Chemical Sources;
Net electricity generation Main activity electricity only - Other Sources;
Net electricity generation Main activity CHP plants - Other Sources;
Net electricity generation Autoproducer electricity only - Other Sources;
Net electricity generation Autoproducer CHP plants - Other Sources;
Total gross production;
Total net production;
Gross electricity generation Main activity electricity only - Anthracite;
Gross electricity generation Main activity CHP plants - Anthracite;
Gross electricity generation Autoproducer electricity only - Anthracite;
Gross electricity generation Autoproducer CHP plants - Anthracite;
Gross electricity generation Main activity electricity only - Coking Coal;
Gross electricity generation Main activity CHP plants - Coking Coal;
Gross electricity generation Autoproducer electricity only - Coking Coal;
Gross electricity generation Autoproducer CHP plants - Coking Coal;
Gross electricity generation Main activity electricity only - Other Bituminous Coal;
Gross electricity generation Main activity CHP plants - Other Bituminous Coal;
Gross electricity generation Autoproducer electricity only - Other Bituminous Coal;
Gross electricity generation Autoproducer CHP plants - Other Bituminous Coal;
Gross electricity generation Main activity electricity only - Sub-Bituminous Coal;
Gross electricity generation Main activity CHP plants - Sub-Bituminous Coal;
Gross electricity generation Autoproducer electricity only - Sub-Bituminous Coal;
Gross electricity generation Autoproducer CHP plants - Sub-Bituminous Coal;
Gross electricity generation Main activity electricity only - Lignite/Brown Coal;
Gross electricity generation Main activity CHP plants - Lignite/Brown Coal;
Gross electricity generation Autoproducer electricity only - Lignite/Brown Coal;
Gross electricity generation Autoproducer CHP plants - Lignite/Brown Coal;
Gross electricity generation Main activity electricity only - Peat;
Gross electricity generation Main activity CHP plants - Peat;
Gross electricity generation Autoproducer electricity only - Peat;
Gross electricity generation Autoproducer CHP plants - Peat;
Gross electricity generation Main activity electricity only - Patent Fuel;
Gross electricity generation Main activity CHP plants - Patent Fuel;
Gross electricity generation Autoproducer electricity only - Patent Fuel;
Gross electricity generation Autoproducer CHP plants - Patent Fuel;
Gross electricity generation Main activity electricity only - Coke Oven Coke;
Gross electricity generation Main activity CHP plants - Coke Oven Coke;
Gross electricity generation Autoproducer electricity only - Coke Oven Coke;
Gross electricity generation Autoproducer CHP plants - Coke Oven Coke;
Gross electricity generation Main activity electricity only - Gas Coke;
Gross electricity generation Main activity CHP plants - Gas Coke;
Gross electricity generation Autoproducer electricity only - Gas Coke;
Gross electricity generation Autoproducer CHP plants - Gas Coke;
Gross electricity generation Main activity electricity only - Coal Tar;
